Record Count,Loaded to Repository,Survey,Year,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE (kg/km2),Var Weight CPUE,Mean Number CPUE (number/km2),Var Number CPUE,Stratum Biomass (mt),Stratum Biomass Var,Min Stratum Biomass (lower 95% CL),Max Stratum Biomass (upper 95% CL),Stratum Population (number),Stratum Population Var,Min Stratum Population (lower 95% CL),Max Stratum Population (upper 95% CL)
1,2018-09-24 11:58:41,GOA,1984,33,Kodiak,1,100,Kenai Peninsula,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,3,2,589.6,252649.175369457,635.3,291109.666606753,3101.2,6990414.27143544,0,14478,3341613,8054556936609.23,0,15553764
1,2018-09-24 11:58:41,GOA,1984,35,Kodiak,1,100,Northern Kodiak Shallows,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,5,4,519.3,142647.192084648,1921.5,2557105.3824793,1142.4,690175.179261822,0,3448.6,4226493,12372137438897.1,0,13990809
1,2018-09-24 11:58:41,GOA,1984,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,4,4,2131.4,525819.692850536,3459.1,2225214.21519347,21201.7,52027479.1756248,0,44153.5,34408105,220174877085082,0,81623547
1,2018-09-24 11:58:41,GOA,1984,41,Yakutat,1,100,Middleton Shallows,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,7,5,561.7,89542.6071684733,1980.4,2047300.89082958,3771.2,4036756.12507363,0,8687.7,13297136,92296334362651.8,0,36805705
1,2018-09-24 11:58:41,GOA,1984,110,Shumagin,101,200,Sanak Gully,WESTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,27,26,2123.3,103164.596340963,3939.7,316997.635302986,9014.3,1859305.38958631,6210.8,11817.8,16725193,5713155798690.71,11810899,21639487
1,2018-09-24 11:58:41,GOA,1984,111,Shumagin,101,200,Shumagin Outer Shelf,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,46,42,3661.8,734271.260706519,3848.4,428778.598216201,29857.4,48816893.7554535,15736.9,43978,31378867,28506684646205.6,20588414,42169319
1,2018-09-24 11:58:41,GOA,1984,112,Shumagin,101,200,West Shumagin Gully,WESTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,9,9,4073,769933.616098202,5864.3,1652369.35517558,9279.3,3996253.13201923,4669.4,13889.1,13360219,8576435776809.6,6606971,20113468
1,2018-09-24 11:58:41,GOA,1984,120,Chirikof,101,200,East Shumagin Gully,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,55,55,4228.7,229295.580613554,6492.4,474060.263957855,46955.1,28272072.1996865,36209.2,57701.1,72091419,58451479848655.4,56640153,87542685
1,2018-09-24 11:58:41,GOA,1984,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,9,9,8009.1,5611040.54012669,10708.7,19733547.6029342,61947.1,335676746.94869,19697.7,104196.4,82828094,1180546285085380,3596058,162060129
1,2018-09-24 11:58:41,GOA,1984,122,Chirikof,101,200,Chirikof Outer Shelf,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,21,20,13184.3,21931663.8387227,16550.3,43814343.6320683,66063,550649146.853761,17113.1,115012.9,82929127,1100068427018210,13742182,152116072
1,2018-09-24 11:58:41,GOA,1984,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,39,39,16457.9,16152471.4826328,14865.4,10220646.1007941,130211.4,1011083071.33836,65280.9,195142,117611599,639773440353350,65961776,169261423
1,2018-09-24 11:58:41,GOA,1984,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,18,18,11980.2,9037386.24448329,15949.9,14865152.498884,87891.2,486417380.897119,41355.4,134427,117014769,800084045268870,57331822,176697716
1,2018-09-24 11:58:41,GOA,1984,132,Kodiak,101,200,Barren Islands,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,22,22,9133.4,2212691.24356406,10837.5,3186477.59979347,100292,266800746.30426,66317.2,134266.8,119004634,384217456538280,78233585,159775682
1,2018-09-24 11:58:41,GOA,1984,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,32,32,4353.3,1009684.24672668,5303.3,2250611.76326074,52574.9,147266682.70166,27794.6,77355.3,64047681,328261166299511,27050767,101044594
1,2018-09-24 11:58:41,GOA,1984,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,21,21,15591.2,36666612.9876046,16996.2,42804381.4986635,78358.1,926151928.955268,14875.4,141840.8,85419501,1081184141718410,16828974,154010028
1,2018-09-24 11:58:41,GOA,1984,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,13,13,4990,5127953.90310495,5458.6,2362323.29435343,36654.9,276693689.628332,409.1,72900.6,40096839,127466034359987,15495742,64697935
1,2018-09-24 11:58:41,GOA,1984,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,18,18,3505.9,1646029.78495069,8722.3,34862050.3134743,18499.3,45828867.1573542,4215.2,32783.3,46023859,970631447411553,0,111760822
1,2018-09-24 11:58:41,GOA,1984,142,Yakutat,101,200,Yakutat Flats,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,22,22,905.1,43632.7909377276,1663.3,96384.2083627335,8174.8,3559357.5683735,4250.6,12098.9,15023121,7862569735619.36,9190744,20855498
1,2018-09-24 11:58:41,GOA,1984,143,Yakutat,101,200,Fairweather Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,2,2,9661.4,3338264.95161599,15045.9,1487025.65983226,74658.4,199343608.133829,0,254053.3,116267316,88797343744407,0,235998930
1,2018-09-24 11:58:41,GOA,1984,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,12,12,4278.9,1713112.1592211,7182.8,4307607.08894126,17955.8,30167257.3789149,5866.9,30044.8,30141965,75855332086611.9,10972363,49311567
1,2018-09-24 11:58:41,GOA,1984,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,25,23,1108.6,160319.015304212,2457.2,749102.306148753,7636,7605918.04499715,1943.7,13328.3,16924843,35539207480000.5,4620354,29229331
1,2018-09-24 11:58:41,GOA,1984,210,Shumagin,201,300,Shumagin Slope,WESTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,23,22,1524.3,93309.1678053531,1058.6,45297.6480574243,4249.7,725260.401392406,2483.4,6015.9,2951438,352083200235.923,1720797,4182079
1,2018-09-24 11:58:41,GOA,1984,220,Chirikof,201,300,Lower Shelikof Gully,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,27,27,5099.8,242527.498262503,3521.6,158309.685588277,51088.5,24339093.5703397,40945.3,61231.7,35279068,15887329388330.4,27084076,43474061
1,2018-09-24 11:58:41,GOA,1984,221,Chirikof,201,300,Chirikof Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,16,16,6102.1,4384071.82421473,3258.8,1301123.62758372,9325.9,10240054.6669844,2506.7,16145.2,4980405,3039087316355.45,1265437,8695372
1,2018-09-24 11:58:41,GOA,1984,230,Kodiak,201,300,Kenai Gullies,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,22,21,3551.1,1101433.99189705,2645.3,543617.717815363,23648.1,48846843.4977502,9110.9,38185.3,17616047,24108580069329.3,7403145,27828949
1,2018-09-24 11:58:41,GOA,1984,231,Kodiak,201,300,Kodiak Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,14,14,2472.7,431361.378521763,1266.9,79905.4064571227,4012.2,1135721.10408789,1710.3,6314.1,2055644,210381042352.627,1064910,3046378
1,2018-09-24 11:58:41,GOA,1984,232,Kodiak,201,300,Upper Shelikof Gully,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,5,5,6794.2,1704023.02030646,6755.7,2315943.98266504,21797.2,17539032.6455132,10171.4,33423,21673702,23837364069082.2,8120292,35227112
1,2018-09-24 11:58:41,GOA,1984,240,Yakutat,201,300,Yakutat Gullies,EASTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,17,16,3674.6,8283039.51315905,2896.5,3830753.49068629,11180.8,76684723.9417173,0,29745.6,8813227,35465274970058.8,0,21438406
1,2018-09-24 11:58:41,GOA,1984,241,Yakutat,201,300,Yakutat Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,16,16,2110.8,456432.848411255,2450.6,623167.003292995,4490.4,2065636.84086313,1427.7,7553.2,5213204,2820210518355.29,1634513,8791895
1,2018-09-24 11:58:41,GOA,1984,250,Southeastern,201,300,Baranof-Chichagof Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,20,20,2256.1,1315164.93536545,2971.8,3109254.48227326,2538.7,1665281.00132948,0,5239.7,3344056,3936983323076.06,0,7496951
1,2018-09-24 11:58:41,GOA,1984,251,Southeastern,201,300,Prince of Wales Slope/Gullies,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,19,19,629,21125.1128573628,845.4,35611.0439947925,2470.2,325787.436528948,1271,3669.4,3320055,549186686647.189,1763064,4877045
1,2018-09-24 11:58:41,GOA,1984,310,Shumagin,301,500,Shumagin Slope,WESTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,18,15,438.8,17385.1967167414,269.5,11530.7952388594,1110.6,111377.780712564,406.4,1814.8,682137,73871719974.1799,108653,1255621
1,2018-09-24 11:58:41,GOA,1984,320,Chirikof,301,500,Chirikof Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,12,12,1297.6,260096.13025191,679.5,114149.327863027,2081.3,669146.944698756,280.8,3881.7,1089865,293670935838.156,0,2282618
1,2018-09-24 11:58:41,GOA,1984,330,Kodiak,301,500,Kodiak Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,18,17,3014.9,723681.970041279,1209.2,130798.732734822,8778.7,6135664.28078581,3552.1,14005.2,3521018,1108963806804.97,1299033,5743003
1,2018-09-24 11:58:41,GOA,1984,340,Yakutat,301,500,Yakutat Gullies,EASTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,6,5,504.3,63133.5664431295,379.3,43360.489420518,558.4,77394.3647218622,0,1273.6,420007,53154886089.842,0,1012759
1,2018-09-24 11:58:41,GOA,1984,341,Yakutat,301,500,Yakutat Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,5,5,1612.9,163928.448745135,1564.6,173325.931741333,2452.6,379027.886170669,743.5,4161.6,2379148,400756317950.753,621792,4136503
1,2018-09-24 11:58:41,GOA,1984,350,Southeastern,301,500,Southeastern Deep Gullies,EASTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,9,9,1157.1,210399.541976119,1228,259786.780919585,2712.7,1156328.33780898,232.9,5192.4,2878902,1427754137409.6,123493,5634311
1,2018-09-24 11:58:41,GOA,1984,351,Southeastern,301,500,Southeastern Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,2,2,916.6,810565.364742881,354.4,91951.1321782543,708.2,483910.339952482,0,9547,273823,54895145495.7728,0,3250802
1,2018-09-24 11:58:41,GOA,1984,410,Shumagin,501,700,Shumagin Slope,WESTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,14,4,49.3,758.268357079242,21.1,128.397431450938,99,3050.09154351615,0,218.3,42303,516471399.89619,0,91392
1,2018-09-24 11:58:41,GOA,1984,420,Chirikof,501,700,Chirikof Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,9,3,62.4,1637.46408964247,25.1,220.568308516586,122,6246.97348639746,0,304.2,48956,841474560.546547,0,115849
1,2018-09-24 11:58:41,GOA,1984,430,Kodiak,501,700,Kodiak Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,16,9,152.7,4058.14919762926,57.1,646.162460055067,266.4,12354.8289857787,29.6,503.3,99571,1967208769.86833,5054,194088
1,2018-09-24 11:58:41,GOA,1984,440,Yakutat,501,700,Yakutat Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,3,2,156.5,12871.7326413853,53.7,1840.90594086658,229.9,27786.3790766264,0,947.2,78930,3973987942.60749,0,350189
1,2018-09-24 11:58:41,GOA,1984,450,Southeastern,501,700,Southeastern Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,1,0,0,,0,,0,,,,0,,,
1,2018-09-24 11:58:41,GOA,1984,510,Shumagin,701,1000,Shumagin Slope,WESTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,5,1,5.3,27.9948123475808,3,8.94585583049728,10.2,105.059528862557,0,38.7,5794,33572198.5614817,0,21879
1,2018-09-24 11:58:41,GOA,1984,520,Chirikof,701,1000,Chirikof Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,6,3,51.5,694.302687644428,24.7,233.066468631832,158,6524.77671737443,0,365.6,75656,2190264700.38447,0,195979
1,2018-09-24 11:58:41,GOA,1984,530,Kodiak,701,1000,Kodiak Slope,CENTRAL GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,6,1,48.1,2314.34900069182,53,2812.2549035791,168.1,28251.4403045458,0,600.2,185282,34329416827.7479,0,661642
1,2018-09-24 11:58:41,GOA,1984,540,Yakutat,701,1000,Yakutat Slope,EASTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,1,1,128,,26,,242,,,,48493,,,
1,2018-09-24 11:58:41,GOA,1987,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,29,21,569.3,50953.6875889138,1632.5,493415.502277803,4743.9,3537927.98792693,891.8,8596.1,13603125,34259905372687.4,1615779,25590470
1,2018-09-24 11:58:41,GOA,1987,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,35,22,478.9,25214.6622595557,1165,121498.121265223,6551.8,4719588.58186614,2115.7,10988,15939309,22741575514231.7,6201394,25677225
1,2018-09-24 11:58:41,GOA,1987,12,Shumagin,1,100,Lower Alaska Peninsula,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,17,12,813.4,171153.617951289,3115.2,1999549.72109177,5592.8,8091619.65653537,0,11623.3,21419613,94532596044862.6,807304,42031922
1,2018-09-24 11:58:41,GOA,1987,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,24,16,977.4,122097.876958288,2528.1,751013.700571161,12118.7,18770102.7990463,3154.8,21082.5,31345966,115453312656932,9114726,53577206
1,2018-09-24 11:58:41,GOA,1987,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,20,17,1209.8,84778.8380328147,2699.8,624698.395651292,9607,5345910.25227852,4767.7,14446.2,21438541,39391688248918.4,8302287,34574794
1,2018-09-24 11:58:41,GOA,1987,21,Chirikof,1,100,Semidi Bank,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,10,5,1145.6,607375.2059335,3417.2,4119344.18204435,8365.2,32385525.3434481,0,21237.8,24952698,219645326484712,0,58476525
1,2018-09-24 11:58:41,GOA,1987,22,Chirikof,1,100,Chirikof Bank,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,24,11,3524.9,4286376.16187585,5075.2,7277140.57924762,38041,499223614.254836,0,84269.3,54771517,847550537847020,0,115005737
1,2018-09-24 11:58:41,GOA,1987,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,10,7,2113.8,1658135.25404031,4134.1,5194194.78977337,12188.6,55129052.3365844,0,28983.7,23837580,172694619280357,0,53563275
1,2018-09-24 11:58:41,GOA,1987,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,28,13,261.5,16057.2296099432,711.8,163514.310453938,4028,3809689.12204739,22.8,8033.2,10964551,38794904536315.6,0,23745547
1,2018-09-24 11:58:41,GOA,1987,32,Kodiak,1,100,Lower Cook Inlet,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,8,7,136.4,7979.07968328563,1075.8,290379.941693389,1348.4,779958.199829114,0,3437.1,10636425,28384754330012.8,0,23236517
1,2018-09-24 11:58:41,GOA,1987,33,Kodiak,1,100,Kenai Peninsula,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,5,4,4183.8,11832327.5157837,2352.7,2892298.07787259,22006.9,327382311.894265,0,72235.1,12375435,80025441330809.3,0,37208682
1,2018-09-24 11:58:41,GOA,1987,35,Kodiak,1,100,Northern Kodiak Shallows,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,6,6,2397.8,731139.618711574,2970.5,740971.913992205,5274.3,3537499.82761833,438.7,10109.9,6534024,3585071785107.95,1666020,11402029
1,2018-09-24 11:58:41,GOA,1987,40,Yakutat,1,100,Yakutat Shallows,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,5,4,1208.2,782006.962281993,1540.7,1352906.4536957,12018,77376050.1908111,0,36436.7,15325770,133863971439787,0,47443979
1,2018-09-24 11:58:41,GOA,1987,41,Yakutat,1,100,Middleton Shallows,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,10,9,301.4,17844.9538616333,721.7,64894.0516515825,2023.9,804485.474351561,0,4052.7,4845966,2925550961370.75,976987,8714946
1,2018-09-24 11:58:41,GOA,1987,50,Southeastern,1,100,Southeastern Shallows,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,1,0,0,,0,,0,,,,0,,,
1,2018-09-24 11:58:41,GOA,1987,110,Shumagin,101,200,Sanak Gully,WESTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,10,9,3586.7,449100.461890092,5529.1,1022095.57026718,15226.6,8094006.46029956,8791.2,21662,23472628,18420929949545.9,13764212,33181044
1,2018-09-24 11:58:41,GOA,1987,111,Shumagin,101,200,Shumagin Outer Shelf,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,37,36,5714.5,1705918.26322972,6518.9,1371050.70934527,46594.8,113415348.071015,24848.2,68341.5,53153083,91152194554157.8,33657362,72648804
1,2018-09-24 11:58:41,GOA,1987,112,Shumagin,101,200,West Shumagin Gully,WESTERN GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,8,8,10627.9,8251798.28531555,10492.5,5433900.19317232,24212.8,42830023.3331768,8735.2,39690.5,23904484,28204042805782.7,11344566,36464403
1,2018-09-24 11:58:41,GOA,1987,120,Chirikof,101,200,East Shumagin Gully,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,77,77,4907.2,203456.642976252,7870.1,787032.777734995,54489.6,25086139.402856,44472.4,64506.8,87390304,97040891307646.3,67688437,107092171
1,2018-09-24 11:58:41,GOA,1987,121,Chirikof,101,200,Shelikof Edge,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,23,23,12777.4,17341536.3523799,11851.7,14064241.4942245,98828,1037445812.09672,32025.7,165630.3,91668727,841383839471501,31509003,151828451
1,2018-09-24 11:58:41,GOA,1987,122,Chirikof,101,200,Chirikof Outer Shelf,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,20,20,10659.1,16871636.2635001,9230.1,8677490.58485564,53410,423604528.26749,10332.6,96487.4,46249396,217870054115356,15355833,77142959
1,2018-09-24 11:58:41,GOA,1987,130,Kodiak,101,200,Albatross Gullies,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,39,39,16002,22755869.9265983,14079.8,5291845.05534032,126603.8,1424430613.05508,49535.4,203672.2,111396469,331249304934735,74231547,148561391
1,2018-09-24 11:58:41,GOA,1987,131,Kodiak,101,200,Portlock Flats,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,28,28,5784.2,1430256.81178852,6855,2075770.97970821,42434.9,76980418.1850824,24431,60438.9,50291128,111723794466377,28601596,71980661
1,2018-09-24 11:58:41,GOA,1987,132,Kodiak,101,200,Barren Islands,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,31,31,4088.7,331202.113335678,3688.9,216720.343571044,44897.4,39935518.0134281,31993,57801.7,40506719,26131594081303.4,30068205,50945234
1,2018-09-24 11:58:41,GOA,1987,133,Kodiak,101,200,Kenai Flats,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,34,33,2786.2,276213.74482336,3365.7,511370.641227264,33649.5,40286933.3146586,20688.6,46610.5,40647309,74585553066418.8,23012000,58282619
1,2018-09-24 11:58:41,GOA,1987,134,Kodiak,101,200,Kodiak Outer Shelf,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,16,15,3164.9,877710.71982066,3097.5,1321074.19996847,15906.2,22169854.5350078,5872.4,25940,15567420,33368651176138.2,3257569,27877270
1,2018-09-24 11:58:41,GOA,1987,140,Yakutat,101,200,Middleton Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,20,20,6313.7,12237018.1507792,4927.8,4171935.95433049,46377.6,660283958.507859,0,100159.3,36198026,225108956497805,4795426,67600627
1,2018-09-24 11:58:41,GOA,1987,141,Yakutat,101,200,Yakataga Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,16,16,2222,133357.656607674,4049.9,420573.718015507,11724.6,3712952.45381737,7618.4,15830.8,21369522,11709640511386.4,14077378,28661666
1,2018-09-24 11:58:41,GOA,1987,142,Yakutat,101,200,Yakutat Flats,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,15,15,2038.1,1435970.17125632,2684.6,959436.363884917,18408.1,117139682.958038,0,41623.7,24247152,78266299491141,5270714,43223590
1,2018-09-24 11:58:41,GOA,1987,143,Yakutat,101,200,Fairweather Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,12,11,2439.4,421920.838339523,4264.4,1371990.17576918,18850.3,25194891.2026098,7802.5,29898.1,32952994,81928030257034.9,13030840,52875148
1,2018-09-24 11:58:41,GOA,1987,150,Southeastern,101,200,Baranof-Chichagof Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,8,7,2819.6,2164282.22986117,3164.6,1238068.0296412,11832,38112191.7309369,0,26432.3,13279962,21801909875984.8,2237182,24322742
1,2018-09-24 11:58:41,GOA,1987,151,Southeastern,101,200,Prince of Wales Shelf,EASTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,12,11,3767.4,3385228.43245365,5326.2,4394730.18553404,25949.5,160603344.350507,0,53842.6,36686023,208496525241374,4904884,68467162
1,2018-09-24 11:58:41,GOA,1987,210,Shumagin,201,300,Shumagin Slope,WESTERN GOA,SLOPE,10110,arrowtooth flounder,Atheresthes stomias,7,7,885.6,151909.410705869,954.7,120556.521039414,2469.1,1180740.14349426,0,5128.1,2661723,937044803806.529,293001,5030445
1,2018-09-24 11:58:41,GOA,1987,220,Chirikof,201,300,Lower Shelikof Gully,CENTRAL GOA,GULLY,10110,arrowtooth flounder,Atheresthes stomias,13,13,3478.6,896859.413261859,2708.7,458912.797028228,34847.9,90005237.9016985,14175.5,55520.3,27134760,46054660141700.2,12347285,41922235
